Wet clay;Modelling;Coiling;Pressure;Application separate element;Wet smoothing;Leather-hard;Burnishing;Dry;Open firing;;;;;
Wet clay;Modelling;Coiling;Pressure;Application separate element;Wet smoothing;Leather-hard;Burnishing;Dry;Open firing;;;;;
Wet clay;Modelling;Coiling;Pressure;Wet smoothing;Tilted impression;Leather-hard;Burnishing;Dry;Open firing;;;;;
Wet clay;Modelling;Coiling;Pressure;Wet smoothing;Simple incision;Leather-hard;Burnishing;Dry;Open firing;;;;;
Wet clay;Modelling;Coiling;Pressure;Application separate element;Wet smoothing;Simple impression;Leather-hard;Burnishing;Dry;Open firing;;;;
Wet clay;Modelling;Coiling;Pressure;Application separate element;Wet smoothing;Simple impression;Leather-hard;Burnishing;Dry;Open firing;;;;
Wet clay;Modelling;Coiling;Pressure;Application separate element;Wet smoothing;Simple impression;Leather-hard;Burnishing;Dry;Open firing;Smudging;;;
Wet clay;Modelling;Coiling;Pressure;Application separate element;Wet smoothing;Simple impression;Leather-hard;Burnishing;Dry;Open firing;Smudging;;;
Wet clay;Modelling;Coiling;Pressure;Wet smoothing;Leather-hard;Burnishing;Dry;Open firing;Smudging;;;;;
Wet clay;Modelling;Coiling;Pressure;Wet smoothing;Leather-hard;Burnishing;Dry;Open firing;;;;;;
Wet clay;Modelling;Coiling;Pressure;Wet smoothing;Leather-hard;Burnishing;Dry;Open firing;;;;;;
Wet clay;Modelling;Coiling;Pressure;Application separate element;Wet smoothing;Simple impression;Leather-hard;Burnishing;Dry;Open firing;Smudging;Incrustation;;
Wet clay;Modelling;Coiling;Pressure;Wet smoothing;Leather-hard;Burnishing;Dry;Open firing;;;;;;
Wet clay;Modelling;Coiling;Pressure;Application separate element;Scraping;Wet smoothing;Simple impression;Leather-hard;Burnishing;Dry;Open firing;;;
Wet clay;Modelling;Coiling;Pressure;Application separate element;Scraping;Wet smoothing;Simple impression;Leather-hard;Burnishing;Dry;Open firing;;;
Wet clay;Coiling;Pressure;Wet smoothing;Leather-hard;Dry;Open firing;;;;;;;;
Wet clay;Modelling;Coiling;Pressure;Wet smoothing;Leather-hard;Burnishing;Dry;Open firing;Smudging;;;;;
Wet clay;Modelling;Coiling;Pressure;Scraping;Wet smoothing;Simple impression;Leather-hard;Burnishing;Dry;Open firing;;;;
Wet clay;Modelling;Coiling;Pressure;Wet smoothing;Leather-hard;Burnishing;Dry;Open firing;;;;;;
